,p.HS1,p.S1H,p.S1S2,p.HD,rr.S1,rr.S2,c.H,c.S1,c.S2,c.Trt,u.H,u.S1,u.S2,u.Trt,Cost_NoTrt,Cost_Trt,QALY_NoTrt,QALY_Trt,ICER
7421,0.124706422,0.539156359,0.100855807,0.004757265,3.093054865,9.871883052,2182.289488,4019.423445,16128.4725,12865.80889,0.979766754,0.771107204,0.510989234,0.960361916,75332.95619,135202.1338,16.31650364,16.77537993,130469.1
7422,0.148252878,0.550355556,0.101194307,0.005818465,2.969619688,9.747034911,1828.474932,3658.587383,16377.12785,10492.88204,0.99379067,0.737251337,0.495811934,0.957430828,70756.4297,122780.9364,15.7334914,16.31673881,89198.00678
7423,0.143749282,0.468038683,0.11257381,0.00497075,2.984395145,9.778151771,1887.016689,4079.761929,14205.42738,12615.45494,0.998473743,0.717098877,0.51668674,0.955287663,74741.2167,145420.3262,15.67684817,16.33448679,107474.0856
7424,0.147567099,0.441495402,0.092777395,0.004140909,2.974889056,10.19803994,1728.368866,4519.595635,14590.23307,11945.01083,0.983427938,0.742403646,0.54200317,0.920951861,75415.8974,145212.8393,16.01258019,16.56783993,125701.4278
7425,0.151044286,0.426509665,0.115335453,0.009272213,2.954498108,9.682967907,2042.972792,4144.310595,15533.05583,12127.50854,0.988280311,0.741210061,0.514212267,0.977942374,68865.38048,129346.0748,14.07195291,14.71853292,93539.38195
7426,0.094206895,0.5609887,0.099149148,0.006148151,3.05494238,9.860467645,2021.604948,4181.179408,14734.81473,10700.8431,0.993297151,0.736897713,0.480858429,0.944644516,60216.32572,97100.89179,16.60384971,16.99763928,93665.67744
7427,0.120426808,0.517263113,0.106441418,0.004002366,3.011489114,10.11124948,1925.121617,3788.59698,15289.99553,13193.17917,0.995598864,0.692247917,0.507606287,0.958672348,72952.81202,137226.0042,16.50960428,17.15389872,99757.48386
7428,0.154185588,0.534564353,0.105997006,0.009323234,2.957599128,9.876788593,1977.633072,4067.373286,14484.95402,12945.62535,0.991579581,0.728950607,0.507858381,0.966371215,61389.85396,119285.4072,14.53194118,15.14072427,95100.46207
7429,0.173019992,0.461798737,0.112283466,0.003103227,2.985314644,10.23450788,2126.365901,4458.671146,15188.12909,14278.69157,0.967866293,0.722169698,0.500552247,0.969487444,95848.37163,195150.2866,15.41907842,16.21299189,125079.0155
7430,0.147852353,0.519772413,0.103396849,0.006981254,3.006239135,10.22534673,1968.259833,3832.468513,15298.13037,12376.75737,0.989469103,0.735156489,0.521292028,0.953358816,67366.36681,126863.8597,15.23953204,15.8176417,102917.3139
7431,0.140307306,0.539634837,0.10347729,0.006681274,3.012709585,9.822674765,1596.777599,3550.665347,13892.51624,10810.39696,0.987215787,0.753098069,0.531704483,0.984516757,58780.2693,109057.8272,15.56932111,16.15359534,86051.30084
7432,0.16123043,0.500672627,0.105544595,0.003404185,2.976139137,10.09926282,1879.885247,4336.975076,14129.39272,13583.40242,0.999987754,0.749549383,0.479043388,0.967816439,81641.66695,166237.9583,16.12431093,16.78241339,128545.7757
7433,0.130039474,0.621892191,0.115709767,0.005054324,2.976363166,10.27547073,2203.246596,4419.432811,14696.04893,10712.25163,0.986179335,0.701307576,0.519804092,0.999254559,73090.30852,121176.8503,16.1224097,16.78305293,72787.45829
7434,0.149793055,0.578790534,0.105404264,0.004341656,2.982853557,10.03113577,1886.201762,4231.53929,14166.29839,9083.910655,0.994309558,0.769268333,0.527227436,0.940788037,72701.65727,120354.0081,16.35091318,16.80278449,105455.5779
7435,0.125903071,0.594667059,0.096731345,0.005491835,3.009287077,10.09945202,1896.984806,3843.47761,14227.52693,10483.16297,0.99890415,0.703528033,0.519022366,0.927630061,62367.94653,106713.4966,16.40057732,16.91818251,85674.47061
7436,0.140004179,0.489613367,0.101848636,0.003581647,3.022992199,10.15440227,2004.762469,3455.544216,16219.67216,11229.00708,0.988472982,0.754007214,0.469025983,0.951503795,81439.89228,144658.7643,16.2435129,16.79808644,113995.4701
7437,0.145920223,0.504222252,0.098978046,0.004568264,3.000065418,10.15435199,1932.793568,3719.712209,15606.30187,13942.09444,0.993230429,0.759464057,0.508530489,0.957004223,75194.54929,150283.5092,16.10262422,16.65914065,134926.7612
7438,0.19923962,0.494021917,0.093129488,0.00562161,2.973092144,9.984756583,1771.708238,4074.166424,17099.40104,11253.39656,0.99814215,0.738407711,0.525594902,0.944665187,81638.26832,151850.7872,15.12303569,15.83202671,99031.60643
7439,0.128609197,0.490188677,0.105606952,0.004123428,2.965833753,10.48849097,1898.016834,4064.181415,15271.51929,11990.69861,0.980261347,0.72362356,0.468198443,0.957365551,74956.43757,137061.4192,16.01143928,16.6196264,102114.9244
7440,0.126643819,0.539615626,0.135369618,0.003719258,3.042613286,9.8576663,2042.744504,3996.326732,15461.4801,13813.28366,0.985897268,0.737040091,0.499582864,0.958551165,83396.69741,157298.5709,16.17954547,16.6854487,146079.0695
7441,0.114466735,0.543267289,0.090714421,0.003972055,3.036891761,10.02970784,2245.328759,3737.395322,14704.14339,10892.12758,0.980154817,0.76824513,0.53893162,0.943006174,70882.20606,118850.6531,16.92083644,17.33445842,115971.7068
7442,0.138567245,0.460635488,0.127911999,0.008130308,2.958708332,10.1150962,2247.994217,4224.63045,14924.04067,13703.69762,0.989230365,0.711458274,0.477934196,0.960559721,71701.08856,137770.4688,14.39035091,15.00516257,107462.7972
7443,0.151278405,0.487987879,0.110375081,0.004455411,3.029814992,9.86096462,2119.503663,3509.797531,14123.89033,14438.93375,0.991454257,0.70354424,0.552996829,0.936800548,77721.51153,161376.6822,15.79513718,16.45689246,126414.0595
7444,0.145648263,0.534346873,0.116279993,0.005192116,2.985210169,9.993519639,2223.99981,4463.525989,15051.21529,10757.66422,0.994243464,0.727801324,0.484260925,0.96651305,79691.06861,136224.8917,15.63664125,16.25185616,91892.80352
7445,0.145646049,0.452585232,0.094446025,0.002466939,3.008179916,9.946760891,1624.80043,4147.580379,14640.22696,9555.658397,0.989945594,0.753129055,0.453064455,0.951461189,80262.19568,140437.2319,16.49925908,17.11906349,97087.13814
7446,0.146579768,0.48352087,0.111920941,0.003129822,2.988426598,9.968514706,1632.905988,4279.151003,13430.28214,11432.88073,0.999751069,0.759077659,0.547752075,0.965858751,76920.60757,147094.8716,16.54779131,17.13680284,119139.0325
